condition_name,ge_audc_f_max,ge_audc_f_mean,ge_audc_f_median,ge_audc_f_min,ge_audc_norm_f_max,ge_audc_norm_f_mean,ge_audc_norm_f_median,ge_audc_norm_f_min,ge_boundary_hit_max,ge_boundary_hit_mean,ge_boundary_hit_median,ge_boundary_hit_min,ge_cell_valid_max,ge_cell_valid_mean,ge_cell_valid_median,ge_cell_valid_min,ge_cliff_flag_max,ge_cliff_flag_mean,ge_cliff_flag_median,ge_cliff_flag_min,ge_contract_margin_min_max,ge_contract_margin_min_mean,ge_contract_margin_min_median,ge_contract_margin_min_min,ge_cpsc_lambda_star_max,ge_cpsc_lambda_star_mean,ge_cpsc_lambda_star_median,ge_cpsc_lambda_star_min,ge_degradation_rate_max,ge_degradation_rate_mean,ge_degradation_rate_median,ge_degradation_rate_min,ge_hard_boundary_hit_max,ge_hard_boundary_hit_mean,ge_hard_boundary_hit_median,ge_hard_boundary_hit_min,ge_hard_lambda_star_max,ge_hard_lambda_star_mean,ge_hard_lambda_star_median,ge_hard_lambda_star_min,ge_margin_drop_f_max,ge_margin_drop_f_mean,ge_margin_drop_f_median,ge_margin_drop_f_min,ge_margin_hard_max,ge_margin_hard_mean,ge_margin_hard_median,ge_margin_hard_min,ge_margin_soft_max,ge_margin_soft_mean,ge_margin_soft_median,ge_margin_soft_min,ge_max_degradation_rate_max,ge_max_degradation_rate_mean,ge_max_degradation_rate_median,ge_max_degradation_rate_min,ge_monotonicity_violations_max,ge_monotonicity_violations_mean,ge_monotonicity_violations_median,ge_monotonicity_violations_min,ge_valid_lambda_coverage_max,ge_valid_lambda_coverage_mean,ge_valid_lambda_coverage_median,ge_valid_lambda_coverage_min,n_episode_ids,n_rollouts,proposition_satisfied_fraction_max,proposition_satisfied_fraction_mean,proposition_satisfied_fraction_median,proposition_satisfied_fraction_min,rebound_c_rec_cog_max,rebound_c_rec_cog_mean,rebound_c_rec_cog_median,rebound_c_rec_cog_min,rebound_c_rec_max,rebound_c_rec_mean,rebound_c_rec_median,rebound_c_rec_min,rebound_c_rec_phy_max,rebound_c_rec_phy_mean,rebound_c_rec_phy_median,rebound_c_rec_phy_min,rebound_c_rec_state_debt_max,rebound_c_rec_state_debt_mean,rebound_c_rec_state_debt_median,rebound_c_rec_state_debt_min,rebound_c_rec_valid_max,rebound_c_rec_valid_mean,rebound_c_rec_valid_median,rebound_c_rec_valid_min,rebound_formal_window_count_max,rebound_formal_window_count_mean,rebound_formal_window_count_median,rebound_formal_window_count_min,rebound_g_rec_total_max,rebound_g_rec_total_mean,rebound_g_rec_total_median,rebound_g_rec_total_min,rebound_num_recovery_windows_max,rebound_num_recovery_windows_mean,rebound_num_recovery_windows_median,rebound_num_recovery_windows_min,rebound_raw_window_count_max,rebound_raw_window_count_mean,rebound_raw_window_count_median,rebound_raw_window_count_min,rebound_skipped_window_count_max,rebound_skipped_window_count_mean,rebound_skipped_window_count_median,rebound_skipped_window_count_min,rebound_w_rem_star_max,rebound_w_rem_star_mean,rebound_w_rem_star_median,rebound_w_rem_star_min,stability_beta_action_max,stability_beta_action_mean,stability_beta_action_median,stability_beta_action_min,stability_beta_max,stability_beta_mean,stability_beta_median,stability_beta_min,stability_beta_neighborhood_max,stability_beta_neighborhood_mean,stability_beta_neighborhood_median,stability_beta_neighborhood_min,stability_beta_neighborhood_valid_max,stability_beta_neighborhood_valid_mean,stability_beta_neighborhood_valid_median,stability_beta_neighborhood_valid_min,stability_beta_out_max,stability_beta_out_mean,stability_beta_out_median,stability_beta_out_min,stability_beta_progress_max,stability_beta_progress_mean,stability_beta_progress_median,stability_beta_progress_min,stability_beta_success_max,stability_beta_success_mean,stability_beta_success_median,stability_beta_success_min,stability_beta_vv_max,stability_beta_vv_mean,stability_beta_vv_median,stability_beta_vv_min,stability_p_cbf_max,stability_p_cbf_mean,stability_p_cbf_median,stability_p_cbf_min,stability_value_delta_variance_max,stability_value_delta_variance_mean,stability_value_delta_variance_median,stability_value_delta_variance_min,stress_lambda,task_family,task_percent_complete_max,task_percent_complete_mean,task_percent_complete_median,task_percent_complete_min,task_state_success_max,task_state_success_mean,task_state_success_median,task_state_success_min,task_state_success_rate
default,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.3158850840659908,-0.3158850840659908,-0.3158850840659908,-0.3158850840659908,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.4703610199633659,-0.47036101996336577,-0.4703610199633659,-0.4703610199633659,-0.6422913781300785,-0.6422913781300785,-0.6422913781300785,-0.6422913781300785,-0.3158850840659908,-0.3158850840659908,-0.3158850840659908,-0.3158850840659908,1.8822837208319596,1.88228372083196,1.8822837208319596,1.8822837208319596,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,9,9,1.0,0.9555555555555555,1.0,0.6,448.9997755001122,158.43197909754005,61.210523094182996,24.2114022344876,251.1611029031867,87.22102389730279,37.09791120584789,13.395003447089312,439.99978000011,142.13532942324886,75.42104866205007,23.263156670360175,1.1052630997229944,0.265107198522623,0.0,0.0,1.0,1.0,1.0,1.0,11.0,3.0,1.0,1.0,1587.7779043331866,722.8490402330208,520.0183282204526,254.50507888970043,11.0,3.0,1.0,1.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,14.595959595959597,19.0,2.0,0.8529411764705882,0.7101372030293599,0.7,0.5833333333333334,0.8027694054835588,0.7115521350875742,0.7328428924436898,0.5326057534060419,0.3863095238095238,0.19813615260919182,0.175,0.14583333333333334,1.0,1.0,1.0,1.0,0.7726190476190476,0.39627230521838364,0.35,0.2916666666666667,0.4,0.044444444444444446,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,70.0,22.88888888888889,0.0,0.0,0.011203637346625328,0.0025004104148441306,0.0010589287849143147,8.425672422163188e-05,0.0,placement_only,1.0,0.9555555555555555,1.0,0.6,1.0,0.8888888888888888,1.0,0.0,0.8888888888888888
default,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.45488403027323465,-0.45488403027323465,-0.45488403027323465,-0.45488403027323465,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0.11654454115533674,0.11654454115533674,0.11654454115533674,0.11654454115533674,-0.5613496481539668,-0.5613496481539668,-0.5613496481539668,-0.5613496481539668,-0.45488403027323465,-0.45488403027323465,-0.45488403027323465,-0.45488403027323465,1.6289539690187431,1.628953969018743,1.6289539690187431,1.6289539690187431,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3,3,1.0,0.8333333333333334,1.0,0.5,169.61861747341467,125.58594023646837,141.69705022278382,65.44215301320665,80.95703957891371,64.2251158977046,78.62336159507049,33.09494651912958,142.57352076497673,83.99509301162443,67.41176074048465,41.99999752941191,2.6151959192347984,1.2573528654273638,1.1568626770472934,0.0,1.0,1.0,1.0,1.0,9.0,3.6666666666666665,1.0,1.0,1336.5972257395601,1078.3353946675356,1335.7948343428973,562.6141239201494,9.0,3.6666666666666665,1.0,1.0,9.0,3.6666666666666665,1.0,1.0,0.0,0.0,0.0,0.0,17.0,16.85185185185185,17.0,16.555555555555557,0.8444444444444444,0.8030864197530865,0.8148148148148148,0.75,0.7269884057557042,0.7142324682654996,0.7100462060042971,0.7056627930364969,0.4027777777777778,0.272337962962963,0.2111111111111111,0.203125,1.0,1.0,1.0,1.0,0.8055555555555556,0.544675925925926,0.4222222222222222,0.40625,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,132.0,63.666666666666664,59.0,0.0,0.0014371146680787206,0.0008403940252416456,0.0009277124772779644,0.0001563549303682521,0.0,spatial_relation,1.0,0.8333333333333334,1.0,0.5,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666
default,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09705414569675241,0.09705414569675241,0.09705414569675241,0.09705414569675241,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.4703610199633659,-0.47036101996336577,-0.4703610199633659,-0.4703610199633659,0.010521209998096914,0.010521209998096914,0.010521209998096914,0.010521209998096914,0.09705414569675241,0.09705414569675241,0.09705414569675241,0.09705414569675241,1.8822837208319596,1.88228372083196,1.8822837208319596,1.8822837208319596,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,9,9,1.0,0.8888888888888888,1.0,0.0,367.2122540281971,58.799572943169146,16.06896496313914,0.0,206.67425739031933,34.1901023838903,14.621852603237537,0.0,363.11847048759006,59.20473361845203,20.206895854934626,0.0,1.49425282203726,0.2573543648076185,0.09195401981767747,0.0,1.0,0.8888888888888888,1.0,0.0,4.0,1.3333333333333333,1.0,0.0,904.6438157034007,401.6058847089034,424.0337401157412,0.0,4.0,1.3333333333333333,1.0,0.0,4.0,1.4444444444444444,1.0,0.0,1.0,0.1111111111111111,0.0,0.0,29.0,21.84722222222222,29.0,0.0,0.8529411764705882,0.7101372030293599,0.7,0.5833333333333334,0.7774522283543606,0.6745488740741268,0.7187968550483124,0.4,0.3863095238095238,0.19813615260919182,0.175,0.14583333333333334,1.0,1.0,1.0,1.0,0.7726190476190476,0.39627230521838364,0.35,0.2916666666666667,0.4,0.044444444444444446,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,130.0,29.88888888888889,24.0,0.0,0.0726940855383873,0.01732593735343673,0.005731239449232817,0.0,0.2,placement_only,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,0.8888888888888888
default,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.31706634905339415,-0.31706634905339415,-0.31706634905339415,-0.31706634905339415,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0.11654454115533674,0.11654454115533674,0.11654454115533674,0.11654454115533674,-0.3484184123925026,-0.34841841239250265,-0.3484184123925026,-0.3484184123925026,-0.31706634905339415,-0.31706634905339415,-0.31706634905339415,-0.31706634905339415,1.6289539690187431,1.628953969018743,1.6289539690187431,1.6289539690187431,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3,3,1.0,0.6666666666666666,1.0,0.0,101.24785178922713,51.506190356732894,34.94594500146095,18.324774279510603,54.79818490407832,28.213196478029477,20.662547164579095,9.178857365431025,93.72399198487524,47.43952842203415,36.99999900000003,11.594594281227183,0.13513513148283426,0.045045043827611424,0.0,0.0,1.0,1.0,1.0,1.0,16.0,6.666666666666667,3.0,1.0,1234.5038564399988,779.5452846305926,764.5142657519738,339.6177316998053,16.0,6.666666666666667,3.0,1.0,16.0,6.666666666666667,3.0,1.0,0.0,0.0,0.0,0.0,37.0,32.302083333333336,37.0,22.90625,0.8444444444444444,0.8030864197530865,0.8148148148148148,0.75,0.794981494035984,0.6622152531922045,0.7182266217302293,0.47343764381040043,0.4027777777777778,0.272337962962963,0.2111111111111111,0.203125,1.0,1.0,1.0,1.0,0.8055555555555556,0.544675925925926,0.4222222222222222,0.40625,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.005302553530782461,0.0035104312313099704,0.0033334505278617144,0.0018952896352857351,0.2,spatial_relation,1.0,0.6666666666666666,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666
default,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21954631928476287,0.21954631928476287,0.21954631928476287,0.21954631928476287,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.4703610199633659,-0.47036101996336577,-0.4703610199633659,-0.4703610199633659,0.010521209998096914,0.010521209998096914,0.010521209998096914,0.010521209998096914,0.21954631928476287,0.21954631928476287,0.21954631928476287,0.21954631928476287,1.8822837208319596,1.88228372083196,1.8822837208319596,1.8822837208319596,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,9,9,1.0,0.9333333333333333,1.0,0.4,250.99987450006273,58.16716253383359,35.74195279050736,8.690229585394382,140.9029314944999,32.69128315144651,18.67976676325469,6.4960738482414495,245.49987725006136,52.50764832637096,31.827585109393617,4.689655010701551,0.9999995000002498,0.31800760014535767,0.40229883670233907,0.0,1.0,1.0,1.0,1.0,3.0,1.2222222222222223,1.0,1.0,1139.5293561879143,525.338449599732,480.9977115034243,188.3861480950759,3.0,1.2222222222222223,1.0,1.0,3.0,1.2222222222222223,1.0,1.0,0.0,0.0,0.0,0.0,29.0,26.0,29.0,2.0,0.8529411764705882,0.7101372030293599,0.7,0.5833333333333334,0.7549008667881344,0.7112106711697241,0.7152959848499327,0.633383473180566,0.3863095238095238,0.19813615260919182,0.175,0.14583333333333334,1.0,1.0,1.0,1.0,0.7726190476190476,0.39627230521838364,0.35,0.2916666666666667,0.4,0.044444444444444446,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,67.0,25.444444444444443,35.0,0.0,0.053179241716861725,0.007810202533922468,0.0014682277105748653,0.0001611296902410686,0.4,placement_only,1.0,0.9333333333333333,1.0,0.4,1.0,0.8888888888888888,1.0,0.0,0.8888888888888888
default,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6428571428571428,-0.6428571428571428,-0.6428571428571428,-0.6428571428571428,,,,,1.6289539690187431,1.628953969018743,1.6289539690187431,1.6289539690187431,1.0,1.0,1.0,1.0,,,,,0.11654454115533674,0.11654454115533674,0.11654454115533674,0.11654454115533674,-0.6428571428571428,-0.6428571428571428,-0.6428571428571428,-0.6428571428571428,-0.6428571428571428,-0.6428571428571428,-0.6428571428571428,-0.6428571428571428,1.6289539690187431,1.628953969018743,1.6289539690187431,1.6289539690187431,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3,3,1.0,0.5,0.5,0.0,122.64858584737516,55.28991804823403,41.977925087684845,1.2432432096420756,66.7415655364326,32.20296908274397,20.318145304072548,9.549196407726768,105.29723688389684,50.09607541082968,23.18017912726271,21.810810221329454,2.6846846121256323,1.306306271000729,1.2342342008765546,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,719.434947954508,567.2825820146081,629.0925214542297,353.3202766350868,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,37.0,25.166666666666668,19.25,19.25,0.8444444444444444,0.8030864197530865,0.8148148148148148,0.75,0.7597657201874521,0.585192983350487,0.7127307147646333,0.2830825150993755,0.4027777777777778,0.272337962962963,0.2111111111111111,0.203125,1.0,1.0,1.0,1.0,0.8055555555555556,0.544675925925926,0.4222222222222222,0.40625,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,298.0,168.66666666666666,208.0,0.0,0.00604530842974782,0.0024156178502986827,0.0006897816201671958,0.0005117635009810328,0.4,spatial_relation,1.0,0.5,0.5,0.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333
default,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.15691042488162898,-0.15691042488162898,-0.15691042488162898,-0.15691042488162898,1.0,1.0,1.0,1.0,1.8822837208319596,1.88228372083196,1.8822837208319596,1.8822837208319596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.4703610199633659,-0.47036101996336577,-0.4703610199633659,-0.4703610199633659,-0.3243420597613549,-0.3243420597613549,-0.3243420597613549,-0.3243420597613549,-0.15691042488162898,-0.15691042488162898,-0.15691042488162898,-0.15691042488162898,1.8822837208319596,1.88228372083196,1.8822837208319596,1.8822837208319596,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,9,9,1.0,0.925925925925926,1.0,0.3333333333333333,436.27462744453607,93.55005283607547,51.56953845162511,0.0,250.8901684686791,51.670579691251625,24.085371161800346,0.0,445.05475851415764,84.39305625451274,25.06896465279432,0.0,1.068965480380499,0.27969347694543545,0.24137930202140329,0.0,1.0,0.8888888888888888,1.0,0.0,10.0,2.111111111111111,1.0,0.0,1844.3406300388735,894.9496953343222,698.4757877775812,0.0,10.0,2.111111111111111,1.0,0.0,10.0,2.2222222222222223,1.0,1.0,1.0,0.1111111111111111,0.0,0.0,29.0,25.48888888888889,29.0,0.0,0.8529411764705882,0.7101372030293599,0.7,0.5833333333333334,0.7534494438962847,0.6838954093464452,0.7226685274118188,0.5864864864864865,0.3863095238095238,0.19813615260919182,0.175,0.14583333333333334,1.0,1.0,1.0,1.0,0.7726190476190476,0.39627230521838364,0.35,0.2916666666666667,0.4,0.044444444444444446,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,307.0,58.44444444444444,30.0,0.0,0.050030529499053955,0.008415071068965416,0.0008514956571161747,0.00021842251589987427,0.6,placement_only,1.0,0.925925925925926,1.0,0.3333333333333333,1.0,0.8888888888888888,1.0,0.0,0.8888888888888888
default,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.43842554315317694,-0.43842554315317694,-0.43842554315317694,-0.43842554315317694,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0.11654454115533674,0.11654454115533674,0.11654454115533674,0.11654454115533674,-0.5284326739138512,-0.5284326739138512,-0.5284326739138512,-0.5284326739138512,-0.43842554315317694,-0.43842554315317694,-0.43842554315317694,-0.43842554315317694,1.6289539690187431,1.628953969018743,1.6289539690187431,1.6289539690187431,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3,3,1.0,0.8333333333333334,1.0,0.5,233.2684838419643,99.55961357625755,34.513512580715876,30.896844306092436,130.22431468083474,54.993843590226554,18.216841405703207,16.540374684141714,227.5831169456233,94.21839570094495,27.82882765027221,27.243242506939392,0.8026207666826997,0.2675402555608999,0.0,0.0,1.0,1.0,1.0,1.0,19.0,8.666666666666666,6.0,1.0,2901.700834197109,1385.1271385547552,674.02315022786,579.6574312392967,19.0,8.666666666666666,6.0,1.0,19.0,8.666666666666666,6.0,1.0,0.0,0.0,0.0,0.0,37.0,31.071637426900583,31.083333333333332,25.13157894736842,0.8444444444444444,0.8030864197530865,0.8148148148148148,0.75,0.7859390315335788,0.699563560091265,0.7186008311469907,0.5941508175932253,0.4027777777777778,0.272337962962963,0.2111111111111111,0.203125,1.0,1.0,1.0,1.0,0.8055555555555556,0.544675925925926,0.4222222222222222,0.40625,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,63.0,27.0,18.0,0.0,0.007996562868356705,0.0031581187019279846,0.0012560655595734715,0.000221727677853778,0.6,spatial_relation,1.0,0.8333333333333334,1.0,0.5,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666
default,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,1.016219807161631,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0021135697925769303,0.0021135697925769303,0.0021135697925769303,0.0021135697925769303,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.4703610199633659,-0.47036101996336577,-0.4703610199633659,-0.4703610199633659,-0.006294070412943054,-0.006294070412943054,-0.006294070412943054,-0.006294070412943054,0.0021135697925769303,0.0021135697925769303,0.0021135697925769303,0.0021135697925769303,1.8822837208319596,1.88228372083196,1.8822837208319596,1.8822837208319596,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,9,9,1.0,0.7777777777777778,1.0,0.0,75.08677901999611,33.705955365200445,32.707470136524016,0.0,620.8610963830671,86.42652153988702,17.821462907544568,0.0,1538.9302682441403,195.91592914896773,24.620688806183143,0.0,2.505746884859377,0.4874714442357825,0.17241378715814523,0.0,1.0,0.8888888888888888,1.0,0.0,7.0,2.111111111111111,1.0,0.0,1343.2038859550523,617.7990606934778,516.8224421402554,0.0,7.0,2.111111111111111,1.0,0.0,7.0,2.2222222222222223,1.0,1.0,1.0,0.1111111111111111,0.0,0.0,29.25,24.28174603174603,29.0,0.0,0.8529411764705882,0.7101372030293599,0.7,0.5833333333333334,0.8157402913658793,0.694338705154752,0.7062821681214686,0.5785499078802507,0.3863095238095238,0.19813615260919182,0.175,0.14583333333333334,1.0,1.0,1.0,1.0,0.7726190476190476,0.39627230521838364,0.35,0.2916666666666667,0.4,0.044444444444444446,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,191.0,36.666666666666664,15.0,0.0,0.44881731271743774,0.055524849811465375,0.0012762411497533321,0.00021604826906695962,0.8,placement_only,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,0.7777777777777778
default,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,0.5367465518646957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.40476190476190477,-0.4047619047619048,-0.40476190476190477,-0.40476190476190477,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,0.11654454115533674,0.11654454115533674,0.11654454115533674,0.11654454115533674,-0.40476190476190477,-0.4047619047619048,-0.40476190476190477,-0.40476190476190477,-0.40476190476190477,-0.4047619047619048,-0.40476190476190477,-0.40476190476190477,1.6289539690187431,1.628953969018743,1.6289539690187431,1.6289539690187431,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3,3,0.5,0.4444444444444444,0.5,0.3333333333333333,88.46502381772504,39.6947974531813,30.13513432067204,0.4842342211468228,63.939154265387785,29.249078106505177,16.230582581599897,7.577497472527844,121.42095960029243,54.97815731258836,25.91891821840762,17.594594119065025,1.585585542731926,1.0880880537056328,1.4984984430745265,0.18018017531044567,1.0,1.0,1.0,1.0,9.0,4.333333333333333,3.0,1.0,1248.2848526190808,709.7279461432958,600.5315717497787,280.36741406102766,9.0,4.333333333333333,3.0,1.0,9.0,4.333333333333333,3.0,1.0,0.0,0.0,0.0,0.0,37.0,30.925925925925924,37.0,18.77777777777778,0.8444444444444444,0.8030864197530865,0.8148148148148148,0.75,0.7799593200604149,0.7268124134857153,0.7556605437364091,0.6448173766603222,0.4027777777777778,0.272337962962963,0.2111111111111111,0.203125,1.0,1.0,1.0,1.0,0.8055555555555556,0.544675925925926,0.4222222222222222,0.40625,1.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,176.0,111.66666666666667,139.0,20.0,0.005607907194644213,0.0034127993409735304,0.004595449194312096,3.504163396428339e-05,0.8,spatial_relation,0.5,0.4444444444444444,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
