anchor_id,task_family,beta_vv,beta_out,beta_hat,beta_action,beta_progress,beta_success,n_clean,n_perturbed,clean_ref_valid,clean_ref_strategy,beta_neighborhood_valid,missing_reason,beta_scope
80,placement_only,0.0,0.5,0.25,0.0,1.0,1.0,1,2,True,medoid,True,,neighborhood_M=2_Pi=2
79,placement_only,0.0,0.15,0.075,0.0,0.09999999999999998,0.5,1,2,True,medoid,True,,neighborhood_M=2_Pi=2
127,placement_only,0.0,0.0,0.0,0.0,0.0,0.0,1,2,True,medoid,True,,neighborhood_M=2_Pi=2
78,placement_only,0.0,0.25,0.125,0.0,0.5,0.5,1,2,True,medoid,True,,neighborhood_M=2_Pi=2
81,placement_only,0.0,0.1875,0.09375,0.0,0.25,0.5,1,2,True,medoid,True,,neighborhood_M=2_Pi=2
126,spatial_relation,0.0,0.25,0.125,0.0,0.5,0.5,1,2,True,medoid,True,,neighborhood_M=2_Pi=2
11,placement_only,0.0,0.0,0.0,0.0,0.0,0.0,1,2,True,medoid,True,,neighborhood_M=2_Pi=2
