anchor_id,episode_id,evolve_step,ge_episode_hard_boundary_hit,ge_episode_hard_gate_pass,ge_episode_margin,ge_episode_margin_hard,ge_episode_margin_soft,ge_evolve_step_e,ge_stress_lambda,missing_reasons,perturbation_seed,perturbation_type,phase_label,stress_lambda,task_family,valid
1,1,0,1,0,-0.3243420597613549,-0.3243420597613549,-0.09074572373956957,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
11,11,0,1,0,-0.062073364069740844,-0.062073364069740844,-0.01023191648092947,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
9,9,0,1,0,-0.36970363129411543,-0.36970363129411543,-0.04485591162084335,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
80,80,0,0,1,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
126,126,0,1,0,-0.5034495086770818,-0.5034495086770818,-0.03743904005282661,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,spatial_relation,1
125,125,0,1,0,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,spatial_relation,1
129,129,0,1,0,-0.7312329896531682,-0.7312329896531682,-0.39193452805695306,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,spatial_relation,1
79,79,0,1,0,-0.48228177159726304,-0.48228177159726304,-0.026855171512917275,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,placement_only,1
127,127,0,1,0,-1.0,-1.0,-1.0,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,placement_only,1
78,78,0,0,1,0.37141916741142333,0.37141916741142333,0.39999529799142586,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,placement_only,1
60,60,0,0,1,0.048597514886023596,0.048597514886023596,0.10611355415692181,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,placement_only,1
81,81,0,0,1,0.10768617281504289,0.10768617281504289,0.26812880069323564,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,placement_only,1
1,1,0,1,0,-1.0,-1.0,-1.0,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,placement_only,1
11,11,0,1,0,-0.062073364069740844,-0.062073364069740844,-0.03418371724134195,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,placement_only,1
9,9,0,0,1,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,placement_only,1
80,80,0,0,1,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,placement_only,1
126,126,0,1,0,-0.5238095238095237,-0.5238095238095237,-0.5238095238095237,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,spatial_relation,1
125,125,0,1,0,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,spatial_relation,1
129,129,0,1,0,-0.45260459174463685,-0.45260459174463685,-0.3691594387294612,0,0.8,,0,irrelevant_perturbation,stress_sweep,0.8,spatial_relation,1
79,79,0,1,0,-0.48228177159726304,-0.48228177159726304,-0.09192555490030485,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,placement_only,1
127,127,0,0,1,0.010521209998096914,0.010521209998096914,0.21954631928476287,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,placement_only,1
78,78,0,0,1,0.37141916741142333,0.37141916741142333,0.39999529799142586,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,placement_only,1
60,60,0,1,0,-0.7442318556247833,-0.7442318556247833,-0.29030113109848166,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,placement_only,1
81,81,0,0,1,0.10768617281504289,0.10768617281504289,0.26812880069323564,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,placement_only,1
80,80,0,0,1,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,placement_only,1
126,126,0,1,0,-1.0,-1.0,-1.0,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,spatial_relation,1
125,125,0,0,1,-0.015389462698029766,-0.015389462698029766,0.20659098293669942,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,spatial_relation,1
129,129,0,1,0,-0.3094131177721652,-0.3094131177721652,-0.22613513031465393,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,spatial_relation,1
1,1,0,1,0,-0.8970001217401785,-0.8970001217401785,-0.37707475472898133,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,placement_only,1
11,11,0,1,0,-0.062073364069740844,-0.062073364069740844,0.18324903225084377,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,placement_only,1
9,9,0,0,1,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,1.0,,0,irrelevant_perturbation,stress_sweep,1.0,placement_only,1
