anchor_id,episode_id,episode_margin,episode_margin_hard,episode_margin_soft,evolve_step,ge_episode_hard_boundary_hit,ge_episode_hard_gate_pass,ge_episode_margin,ge_episode_margin_hard,ge_episode_margin_soft,ge_evolve_step_e,ge_stress_lambda,hard_gate_pass,metric_source_map,missing_reasons,pc_ratio,pc_ratio_raw,perturbation_seed,perturbation_type,phase_label,proposition_satisfied_fraction,q_ratio,q_ratio_raw,rebound_c_rec,rec_ratio,rec_ratio_raw,safe_ratio,safe_ratio_raw,safety_load,stab_ratio,stab_ratio_raw,stability_load,stress_lambda,task_family,task_percent_complete,valid
79,79,-0.6422913781300785,-0.6422913781300785,-0.5622865748636707,0,1,0,-0.6422913781300785,-0.6422913781300785,-0.5622865748636707,0,0.0,0,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,0.8571428571428572,0.8571428571428572,0,clean,clean_reference,0.6,0.8571428571428572,0.8571428571428572,97.84499870125833,0.35770862186992153,0.35770862186992153,2.0,50000.00000000001,0.0,0.517718228402737,0.517718228402737,0.3863095238095238,0.0,placement_only,0.6,1
127,127,0.010521209998096914,0.010521209998096914,0.016544872060375138,0,0,1,0.010521209998096914,0.010521209998096914,0.016544872060375138,0,0.0,1,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,clean,clean_reference,1.0,1.4285714285714286,1.4285714285714286,34.227533714853536,1.0225685341226531,1.0225685341226531,2.0,50000.00000000001,0.0,1.010521209998097,1.010521209998097,0.19791666666666666,0.0,placement_only,1.0,1
78,78,0.35075473005428504,0.35075473005428504,0.3610869487328543,0,0,1,0.35075473005428504,0.35075473005428504,0.3610869487328543,0,0.0,1,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,clean,clean_reference,1.0,1.4285714285714286,1.4285714285714286,25.911438894490242,1.350754730054285,1.350754730054285,2.0,50000.00000000001,0.0,1.3714191674114233,1.3714191674114233,0.14583333333333334,0.0,placement_only,1.0,1
60,60,0.16362959342782002,0.16362959342782002,0.22121534724687386,0,0,1,0.16362959342782002,0.16362959342782002,0.22121534724687386,0,0.0,1,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,clean,clean_reference,1.0,1.4285714285714286,1.4285714285714286,27.36938425531939,1.2788011010659277,1.2788011010659277,2.0,50000.00000000001,0.0,1.16362959342782,1.16362959342782,0.171875,0.0,placement_only,1.0,1
81,81,-0.8367648389700126,-0.8367648389700126,-0.3645393330774849,0,1,0,-0.8367648389700126,-0.8367648389700126,-0.3645393330774849,0,0.0,0,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,clean,clean_reference,1.0,1.4285714285714286,1.4285714285714286,214.41458822915678,0.16323516102998736,0.16323516102998736,2.0,50000.00000000001,0.0,1.107686172815043,1.107686172815043,0.18055555555555555,0.0,placement_only,1.0,1
80,80,-0.8606472122630453,-0.8606472122630453,-0.29032770210530834,0,1,0,-0.8606472122630453,-0.8606472122630453,-0.29032770210530834,0,0.0,0,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,clean,clean_reference,1.0,1.4285714285714286,1.4285714285714286,251.1611029031867,0.1393527877369547,0.1393527877369547,2.0,50000.00000000001,0.0,1.2799918080524286,1.2799918080524286,0.15625,0.0,placement_only,1.0,1
1,1,-0.05655068118677553,-0.05655068118677553,0.043149965547720104,0,1,0,-0.05655068118677553,-0.05655068118677553,0.043149965547720104,0,0.0,0,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,clean,clean_reference,1.0,1.4285714285714286,1.4285714285714286,37.09791120584789,0.9434493188132245,0.9434493188132245,2.0,50000.00000000001,0.0,1.1428506122822157,1.1428506122822157,0.175,0.0,placement_only,1.0,1
11,11,-0.5811756636570562,-0.5811756636570562,-0.3216245138633985,0,1,0,-0.5811756636570562,-0.5811756636570562,-0.3216245138633985,0,0.0,0,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,clean,clean_reference,1.0,1.4285714285714286,1.4285714285714286,83.5672537245228,0.41882433634294386,0.41882433634294386,2.0,50000.00000000001,0.0,0.9379266359302592,0.9379266359302592,0.21323529411764705,0.0,placement_only,1.0,1
9,9,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,0,1,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,0.0,1,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,clean,clean_reference,1.0,1.4285714285714286,1.4285714285714286,13.395003447089312,2.0,2.612914399412938,2.0,50000.00000000001,0.0,1.2799918080524286,1.2799918080524286,0.15625,0.0,placement_only,1.0,1
126,126,-0.5676719436664265,-0.5676719436664265,-0.5355607261717542,0,1,0,-0.5676719436664265,-0.5676719436664265,-0.5355607261717542,0,0.0,0,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,clean,clean_reference,1.0,1.4285714285714286,1.4285714285714286,80.95703957891371,0.4323280563335735,0.4323280563335735,2.0,50000.00000000001,0.0,0.4965504913229181,0.4965504913229181,0.4027777777777778,0.0,spatial_relation,1.0,1
125,125,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,0,1,0,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,0,0.0,0,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,0.7142857142857143,0.7142857142857143,0,clean,clean_reference,0.5,0.7142857142857143,0.7142857142857143,33.09494651912958,1.0575632422371803,1.0575632422371803,2.0,50000.00000000001,0.0,0.9846105373019702,0.9846105373019702,0.203125,0.0,spatial_relation,0.5,1
129,129,-0.5548396959278052,-0.5548396959278052,-0.3037378811942716,0,1,0,-0.5548396959278052,-0.5548396959278052,-0.3037378811942716,0,0.0,0,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,clean,clean_reference,1.0,1.4285714285714286,1.4285714285714286,78.62336159507049,0.4451603040721947,0.4451603040721947,2.0,50000.00000000001,0.0,0.9473639335392622,0.9473639335392622,0.2111111111111111,0.0,spatial_relation,1.0,1
79,79,-0.48228177159726304,-0.48228177159726304,-0.026855171512917275,0,1,0,-0.48228177159726304,-0.48228177159726304,-0.026855171512917275,0,0.2,0,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,irrelevant_perturbation,stress_sweep,1.0,1.4285714285714286,1.4285714285714286,0.0,2.0,35000000.0,2.0,50000.00000000001,0.0,0.517718228402737,0.517718228402737,0.3863095238095238,0.2,placement_only,1.0,1
127,127,0.010521209998096914,0.010521209998096914,0.21954631928476287,0,0,1,0.010521209998096914,0.010521209998096914,0.21954631928476287,0,0.2,1,"{'task_percent_complete': 'task_percent_complete', 'proposition_satisfied_fraction': 'proposition_satisfied_fraction', 'unsafe_rate': 'missing_safety_policy:assume_zero', 'c_rec': 'rebound_c_rec:legacy_unvalidated', 'stability_load': 'stability_beta_neighborhood'}",,1.4285714285714286,1.4285714285714286,0,irrelevant_perturbation,stress_sweep,1.0,1.4285714285714286,1.4285714285714286,4.8380745304189645,2.0,7.2342814368937916,2.0,50000.00000000001,0.0,1.010521209998097,1.010521209998097,0.19791666666666666,0.2,placement_only,1.0,1
