condition_name,ge_audc_f_max,ge_audc_f_mean,ge_audc_f_median,ge_audc_f_min,ge_cell_valid_max,ge_cell_valid_mean,ge_cell_valid_median,ge_cell_valid_min,ge_contract_margin_min_max,ge_contract_margin_min_mean,ge_contract_margin_min_median,ge_contract_margin_min_min,ge_hard_boundary_hit_max,ge_hard_boundary_hit_mean,ge_hard_boundary_hit_median,ge_hard_boundary_hit_min,ge_valid_lambda_coverage_max,ge_valid_lambda_coverage_mean,ge_valid_lambda_coverage_median,ge_valid_lambda_coverage_min,n_episode_ids,n_rollouts,perturbation_intensity,perturbation_type,proposition_satisfied_fraction_max,proposition_satisfied_fraction_mean,proposition_satisfied_fraction_median,proposition_satisfied_fraction_min,rebound_c_rec_cog_max,rebound_c_rec_cog_mean,rebound_c_rec_cog_median,rebound_c_rec_cog_min,rebound_c_rec_max,rebound_c_rec_mean,rebound_c_rec_median,rebound_c_rec_min,rebound_c_rec_phy_max,rebound_c_rec_phy_mean,rebound_c_rec_phy_median,rebound_c_rec_phy_min,rebound_c_rec_state_debt_max,rebound_c_rec_state_debt_mean,rebound_c_rec_state_debt_median,rebound_c_rec_state_debt_min,rebound_c_rec_valid_max,rebound_c_rec_valid_mean,rebound_c_rec_valid_median,rebound_c_rec_valid_min,rebound_formal_window_count_max,rebound_formal_window_count_mean,rebound_formal_window_count_median,rebound_formal_window_count_min,rebound_g_rec_total_max,rebound_g_rec_total_mean,rebound_g_rec_total_median,rebound_g_rec_total_min,rebound_num_recovery_windows_max,rebound_num_recovery_windows_mean,rebound_num_recovery_windows_median,rebound_num_recovery_windows_min,rebound_raw_window_count_max,rebound_raw_window_count_mean,rebound_raw_window_count_median,rebound_raw_window_count_min,rebound_skipped_window_count_max,rebound_skipped_window_count_mean,rebound_skipped_window_count_median,rebound_skipped_window_count_min,rebound_w_rem_star_max,rebound_w_rem_star_mean,rebound_w_rem_star_median,rebound_w_rem_star_min,stability_beta_action_max,stability_beta_action_mean,stability_beta_action_median,stability_beta_action_min,stability_beta_max,stability_beta_mean,stability_beta_median,stability_beta_min,stability_beta_neighborhood_max,stability_beta_neighborhood_mean,stability_beta_neighborhood_median,stability_beta_neighborhood_min,stability_beta_neighborhood_valid_max,stability_beta_neighborhood_valid_mean,stability_beta_neighborhood_valid_median,stability_beta_neighborhood_valid_min,stability_beta_out_max,stability_beta_out_mean,stability_beta_out_median,stability_beta_out_min,stability_beta_progress_max,stability_beta_progress_mean,stability_beta_progress_median,stability_beta_progress_min,stability_beta_success_max,stability_beta_success_mean,stability_beta_success_median,stability_beta_success_min,stability_beta_vv_max,stability_beta_vv_mean,stability_beta_vv_median,stability_beta_vv_min,stability_p_cbf_max,stability_p_cbf_mean,stability_p_cbf_median,stability_p_cbf_min,stability_value_delta_variance_max,stability_value_delta_variance_mean,stability_value_delta_variance_median,stability_value_delta_variance_min,task_percent_complete_max,task_percent_complete_mean,task_percent_complete_median,task_percent_complete_min,task_state_success_max,task_state_success_mean,task_state_success_median,task_state_success_min,task_state_success_rate
default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,1.0,clean,1.0,0.8285714285714285,1.0,0.0,116.29441661568683,37.67215011958815,31.687846562058752,0.0,65.14803121135938,23.29181361642888,19.725246601820082,0.0,107.05125580212022,41.17788003993942,36.937499230468774,0.0,1.2564102241946093,0.36385835452866244,0.0,0.0,1.0,0.7142857142857143,1.0,0.0,25.0,7.714285714285714,4.0,0.0,1735.2519070550309,780.6579077490352,769.2846371962298,0.0,25.0,7.714285714285714,4.0,0.0,25.0,8.142857142857142,5.0,1.0,2.0,0.42857142857142855,0.0,0.0,48.0,29.0,26.5,0.0,0.0,0.0,0.0,0.0,0.743702651648025,0.5488906800985636,0.5676701098725138,0.2546525786108415,0.25,0.09553571428571428,0.09375,0.0,1.0,1.0,1.0,1.0,0.5,0.19107142857142856,0.1875,0.0,1.0,0.33571428571428574,0.25,0.0,1.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.0,164.0,59.0,73.0,0.0,0.15350906550884247,0.0363294828816184,0.013142413459718227,0.0014446754939854145,1.0,0.8285714285714285,1.0,0.0,1.0,0.7142857142857143,1.0,0.0,0.7142857142857143
default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,1.0,surface_rewrite,1.0,0.7142857142857143,1.0,0.0,95.12621509079668,50.87134032534318,53.98202003912497,20.123969585229148,53.60833837717066,28.21677026067351,29.95788263676549,11.319907705452259,94.35954844135846,48.35919949186199,51.9732042740548,15.393258081050382,1.9475654993056444,0.31139646170216617,0.0,0.0,1.0,0.8571428571428571,1.0,0.0,37.0,13.142857142857142,6.0,1.0,2385.571111392433,1219.6722291087212,949.5271331606126,503.7359042125333,37.0,13.142857142857142,6.0,1.0,37.0,13.714285714285714,6.0,1.0,4.0,0.5714285714285714,0.0,0.0,48.0,42.0,44.5,23.5,0.0,0.0,0.0,0.0,0.8127269973188238,0.5549087836716063,0.635499983675294,0.17137803980290284,0.25,0.09553571428571428,0.09375,0.0,1.0,1.0,1.0,1.0,0.5,0.19107142857142856,0.1875,0.0,1.0,0.33571428571428574,0.25,0.0,1.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.0,264.0,42.142857142857146,0.0,0.0,0.05306549370288849,0.011580802034586668,0.004321040585637093,0.001194594893604517,1.0,0.7142857142857143,1.0,0.0,1.0,0.7142857142857143,1.0,0.0,0.7142857142857143
default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,1.0,object_state_toggle,1.0,0.9,1.0,0.5,102.46654375794927,41.702674753957695,34.2247183320288,0.0,52.9975400712234,25.529156898327503,21.026327187944247,0.0,98.18063533900325,44.47806105319551,33.95505541674033,0.0,2.77038307352861,0.5209696497451642,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,34.0,6.857142857142857,2.0,0.0,1759.3375316623556,786.8496586077332,802.3785594842493,0.0,34.0,6.857142857142857,2.0,0.0,34.0,7.285714285714286,3.0,1.0,1.0,0.42857142857142855,0.0,0.0,48.0,30.357563025210084,31.9,0.0,0.0,0.0,0.0,0.0,0.7882852736259782,0.661465870696877,0.7030738032087803,0.25685169592124035,0.25,0.09553571428571428,0.09375,0.0,1.0,1.0,1.0,1.0,0.5,0.19107142857142856,0.1875,0.0,1.0,0.33571428571428574,0.25,0.0,1.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.0,302.0,62.42857142857143,0.0,0.0,0.05034030228853226,0.01089532671825769,0.0050775520503520966,2.6742936825030483e-05,1.0,0.9,1.0,0.5,1.0,0.7142857142857143,1.0,0.0,0.7142857142857143
