anchor_id,c_rec_total_clean,c_rec_cog_clean,c_rec_phy_clean,c_rec_debt_clean,task_percent_complete_clean,c_rec_total_pert,c_rec_cog_pert,c_rec_phy_pert,c_rec_debt_pert,task_percent_complete_pert,perturbation_type
80,19.49077204263049,22.282050710716614,38.33333235042738,1.2564102241946091,0.0,13.037112324961,20.65543024744352,23.93258373185205,0.0898876384294912,1.0,surface_rewrite
79,0.0,0.0,0.0,0.0,0.8,29.95788263676549,53.98202003912497,51.9732042740548,0.0,1.0,surface_rewrite
127,19.72524660182008,35.07692217751482,34.6666657777778,0.0,1.0,11.31990770545226,20.123969585229148,19.887640002524947,0.0,1.0,surface_rewrite
78,17.038832763233025,19.304414063261454,34.02563884264759,0.6068375912776689,1.0,39.8113803536528,72.85393094710267,68.13482992955439,1.9475654993056444,0.0,surface_rewrite
81,21.56945632251839,39.05940070787862,37.23076827613415,0.0,1.0,12.131300661799855,24.0453178117157,15.393258081050382,0.1423220941800278,1.0,surface_rewrite
126,20.070356373440784,31.687846562058752,36.93749923046877,0.0,1.0,37.6514697649125,69.31249855598959,64.83333198263891,0.0,0.0,surface_rewrite
11,65.14803121135938,116.29441661568684,107.05125580212022,0.6837606662283588,1.0,53.60833837717066,95.12621509079668,94.35954844135846,0.0,1.0,surface_rewrite
80,19.49077204263049,22.282050710716614,38.33333235042738,1.2564102241946091,0.0,22.37201118514192,27.406466075387225,43.66119061103111,2.77038307352861,1.0,object_state_toggle
79,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,object_state_toggle
127,19.72524660182008,35.07692217751482,34.6666657777778,0.0,1.0,19.273481461523872,34.2247183320288,33.95505541674033,0.0,1.0,object_state_toggle
78,17.038832763233025,19.304414063261454,34.02563884264759,0.6068375912776689,1.0,10.506358075551503,7.371160883045075,19.640448996843844,0.8764044746875399,1.0,object_state_toggle
81,21.56945632251839,39.05940070787862,37.23076827613415,0.0,1.0,52.9975400712234,102.46654375794928,88.74243090805558,0.0,0.5,object_state_toggle
126,20.070356373440784,31.687846562058752,36.93749923046877,0.0,1.0,21.026327187944247,41.41249913723961,27.16666610069446,0.0,1.0,object_state_toggle
11,65.14803121135938,116.29441661568684,107.05125580212022,0.6837606662283588,1.0,52.5283803069076,79.03733509205387,98.18063533900325,0.0,1.0,object_state_toggle
