analysis,n_clean,n_perturbed,mean_clean,mean_perturbed,ratio,mann_whitney_U,p_value,cliffs_delta,cv_overall_pct
SR100_clean_vs_perturbed,24,115,11.646183433275363,36.267987106510446,3.1141521435916726,414.0,7.397343401578712e-08,-0.7,115.73195959729492
SR100_model_Qwen2.5-3B-r1,5,10,28.710384654474332,24.57610999232184,,,,,65.83685385760857
SR100_model_Qwen2.5-3B-r2,19,38,7.155604164538794,42.26843030813835,,,,,172.11693207661546
SR100_model_Qwen3-8B,0,36,,27.98226900253067,,,,,56.62526315056452
SR100_model_Qwen3.5-9B,0,31,,42.306302629842634,,,,,56.400993975019844
