perturbation_type,n,beta_neigh_mean,beta_neigh_std,beta_neigh_median,beta_vv_mean,beta_out_mean,beta_out_std,completion_mean
clean,12,0.08437499999999999,0.07919158300085824,0.084375,0.0,0.16874999999999998,0.15838316600171648,0.7916666666666666
filler_injection,12,0.3154005842213527,0.17071638016617688,0.2593948314019612,0.24698035543163618,0.41803092740592734,0.27771824982216886,0.9249999999999999
surface_rewrite,12,0.2635951764320012,0.1357437188395687,0.22518839157289924,0.1917636928459008,0.3713424018111518,0.25522158408375056,0.7916666666666666
