degradation_auc_loss,degradation_l_bd,degradation_p_cliff,episode_id,ge_audc_f,ge_boundary_hit,ge_boundary_lambda_star,ge_cell_missing_reason,ge_cell_valid,ge_contract_margin_min,ge_hard_boundary_hit,ge_valid_lambda_coverage,instruction,rebound_baseline_loaded,rebound_baseline_match_level,rebound_c_rec,rebound_c_rec_cog,rebound_c_rec_missing_reason,rebound_c_rec_phy,rebound_c_rec_plan,rebound_c_rec_sim,rebound_c_rec_state_debt,rebound_c_rec_valid,rebound_formal_window_count,rebound_g_rec_total,rebound_num_recovery_windows,rebound_raw_window_count,rebound_skipped_window_count,rebound_tracker_window_count,rebound_tracker_window_open_final,rebound_w_rem_star,replanning_count_0,replanning_count_1,run_id,runtime,sim_step_count,stability_beta,stability_beta_action,stability_beta_neighborhood,stability_beta_neighborhood_missing_reason,stability_beta_neighborhood_valid,stability_beta_out,stability_beta_progress,stability_beta_scope,stability_beta_success,stability_beta_vv,stability_clean_ref_strategy,stability_clean_ref_valid,stability_n_clean_ref,stability_p_cbf,stability_value_delta_variance,task_percent_complete,task_state_success
1079.0,,1.0,80,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the kettle and potato from the counter to the stool in the kitchen.,1.0,exact,13.037112324960999,20.65543024744352,,23.93258373185205,,,0.08988763842949128,1.0,3.0,580.1515114978768,3.0,3.0,0.0,3.0,0.0,44.5,15.0,15.0,0,227.56535506248474,1077.0,0.635499983675294,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,12.0,0.004321040585637093,1.0,1.0
1999.0,,1.0,79,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,1.0,exact,29.95788263676549,53.98202003912497,partial_formal_windows:stage_baseline_key_missing,51.9732042740548,,,0.0,0.0,6.0,949.5271331606126,6.0,10.0,4.0,10.0,0.0,23.5,23.0,23.0,0,616.9072067737579,1998.0,0.701112436570249,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.001194594893604517,1.0,1.0
896.0,,1.0,127,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the sushi mat from the kitchen counter to the living room table.,1.0,exact,11.319907705452259,20.123969585229148,,19.887640002524947,,,0.0,1.0,2.0,503.7359042125333,2.0,2.0,0.0,2.0,0.0,44.5,6.0,6.0,0,156.73664331436157,895.0,0.8127269973188238,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.002164567355066538,1.0,1.0
3203.0,,1.0,78,0.0,0.0,,,0.0,0.0,0.0,0.0,Put the toy food and the toy fire truck on the other chest of drawers in the bedroom.,1.0,exact,39.811380353652794,72.85393094710267,,68.13482992955439,,,1.9475654993056444,1.0,37.0,1771.6064655489297,37.0,37.0,0.0,37.0,0.0,44.5,100.0,100.0,0,1163.5539700984955,3202.0,0.24291615773514838,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,264.0,0.00838326383382082,0.0,0.0
1063.0,,1.0,81,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,1.0,exact,12.131300661799855,24.0453178117157,,15.393258081050382,,,0.1423220941800278,1.0,1.0,539.8428915813942,1.0,1.0,0.0,1.0,0.0,44.5,5.0,5.0,0,185.523344039917,1062.0,0.7299477287548553,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,19.0,0.0022827074863016605,1.0,1.0
3281.0,,1.0,126,0.0,0.0,,,0.0,0.0,0.0,0.0,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",1.0,exact,37.6514697649125,69.31249855598959,,64.83333198263891,,,0.0,1.0,37.0,1807.2705863672702,37.0,37.0,0.0,37.0,0.0,48.0,100.0,100.0,0,1038.600512266159,3280.0,0.17137803980290284,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.00965394638478756,0.0,0.0
4230.0,,1.0,11,0.0,0.0,,,0.0,0.0,0.0,0.0,"Put the mug, squeezer, and toy food on the bench in the entryway.",1.0,exact,53.60833837717066,95.12621509079668,,94.35954844135846,,,0.0,1.0,6.0,2385.571111392433,6.0,6.0,0.0,6.0,0.0,44.5,16.0,16.0,0,1220.1899185180664,4229.0,0.5907801418439717,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.05306549370288849,1.0,1.0
