metric,center,ci_lo,ci_hi
$C_{rec}$,25.679246925143303,18.56732945743652,33.65802583344558
$\hat{\beta}_{neigh}$,0.22112358688445125,0.1705560612477098,0.2768811689441551
$P_{cliff}$,1.0,1.0,1.0
