completion_bucket,n,c_rec_mean,c_rec_std,c_rec_median,c_rec_cog_mean,c_rec_phy_mean,c_rec_debt_mean,completion_mean
"[0.0,0.2]",3,32.317874053731934,11.160968279689719,37.6514697649125,54.81616007126962,57.100498087540224,1.0679919078334177,0.0
"[0.4,0.6]",1,52.9975400712234,,52.9975400712234,102.46654375794928,88.74243090805558,0.0,0.5
"[0.6,0.8]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.8
"[0.8,1.0]",15,25.95420154637267,17.087429742652926,20.070356373440784,42.98720882803101,45.20413726162015,0.34463970255544646,1.0
